date;hs_code;shipper_name;std_unit;std_quantity;value_fob_usd;items_number;source_port;source_country;destination_port;destination_country
17/06/2022;87042313;jany strosin;KGS;1;6548.21;1;ITALB;Italy;JOZAR;Jordan
22/06/2022;87042323;cristobal brown;KGS;1;64880.18;1;DEASH;Germany;JOAQB;Jordan
06/06/2022;87042321;nick connelly;KGS;1;71059.25;1;DEANS;Germany;AEKHA;United Arab Emirates
06/06/2022;87042311;alda reilly;KGS;1;69005.27;1;ITALI;Italy;AEJYH;United Arab Emirates
03/06/2022;87042313;anderson crooks;KGS;1;69612.90;1;BEANL;Belgium;AEPRA;United Arab Emirates
04/06/2022;87042313;birdie sipes;KGS;1;72308.76;1;DEATB;Germany;AEJED;United Arab Emirates
01/06/2022;87042322;gregg collier;KGS;1;69373.27;1;BEADU;Belgium;JOAMM;Jordan
24/06/2022;87042310;davonte turcotte;KGS;1;72702.44;1;BEATH;Belgium;JOZAR;Jordan
15/06/2022;87042329;rubie macejkovic;KGS;1;70092.17;1;DEAHA;Germany;AEDHF;United Arab Emirates
12/06/2022;87042320;blake leannon;KGS;1;71701.12;1;BEABC;Belgium;JOAMM;Jordan
06/06/2022;87042313;keven christiansen;KGS;1;67190.92;1;BEAQE;Belgium;AEKHA;United Arab Emirates
07/06/2022;87042319;daren dicki;KGS;1;68748.52;1;DEANU;Germany;JOAQJ;Jordan
24/06/2022;87042310;adrain reichel;KGS;1;69073.73;1;BEACE;Belgium;AEKHA;United Arab Emirates
18/06/2022;87042321;roosevelt von;KGS;1;64982.88;1;ITATO;Italy;AEKLF;United Arab Emirates
30/06/2022;87042322;alphonso torp;KGS;1;69356.16;1;BEBEL;Belgium;AERUW;United Arab Emirates
15/06/2022;87042323;pink prosacco;KGS;1;68517.45;1;BEBEL;Belgium;AEJYH;United Arab Emirates
11/06/2022;87042310;jeremy murphy;KGS;1;66788.68;1;ITAGO;Italy;AEMKH;United Arab Emirates
14/06/2022;87042323;agustin vonrueden;KGS;1;69441.74;1;BEBAL;Belgium;AEAAN;United Arab Emirates
08/06/2022;87042313;zane treutel;KGS;1;70485.85;1;DEALP;Germany;JOMPQ;Jordan
24/06/2022;87042329;monserrat torphy;KGS;1;69647.14;1;ITAVL;Italy;AEIND;United Arab Emirates
08/06/2022;87042320;annabell bahringer;KGS;1;71170.51;1;DEADS;Germany;JOAMM;Jordan
10/06/2022;87042320;alessandro kihn;KGS;1;70083.61;1;BEBAR;Belgium;AEJYH;United Arab Emirates
19/06/2022;87042321;carroll glover;KGS;1;64366.69;1;ITASM;Italy;JOAQJ;Jordan
30/06/2022;87042319;santina zieme;KGS;1;64477.95;1;DEAUR;Germany;AESHJ;United Arab Emirates
01/06/2022;87042321;gilberto bogan;KGS;1;71067.81;1;ITAGI;Italy;JOZAR;Jordan
14/06/2022;87042321;zaria haley;KGS;1;72094.80;1;ITAVL;Italy;JOZAR;Jordan
14/06/2022;87042321;brett torphy;KGS;1;69989.47;1;DEASB;Germany;AEMKH;United Arab Emirates
16/06/2022;87042321;daren gorczany;KGS;1;66454.90;1;BEACS;Belgium;JOAQJ;Jordan
07/06/2022;87042319;alycia mante;KGS;1;71684.00;1;BEBCR;Belgium;AEARZ;United Arab Emirates
01/06/2022;87042313;raul balistreri;KGS;1;68996.71;1;DEAAS;Germany;JOMPQ;Jordan
09/06/2022;87042319;leone considine;KGS;1;66668.86;1;BEADO;Belgium;JOAQB;Jordan
18/06/2022;87042313;roxanne hyatt;KGS;1;68945.36;1;BEAAR;Belgium;AEAAN;United Arab Emirates
14/06/2022;87042313;gabriel bode;KGS;1;64597.76;1;BEAAL;Belgium;AEDBP;United Arab Emirates
01/06/2022;87042329;selina gottlieb;KGS;1;72548.39;1;BEAAR;Belgium;JOQIR;Jordan
09/06/2022;87042319;virgie nolan;KGS;1;66240.95;1;ITASS;Italy;JOQIR;Jordan
05/06/2022;87042319;crystal howell;KGS;1;71435.81;1;DEADO;Germany;JOZAR;Jordan
20/06/2022;87042311;prince nienow;KGS;1;72094.80;1;DEATB;Germany;AEAAN;United Arab Emirates
12/06/2022;87042329;fernando bailey;KGS;1;70075.05;1;DEASH;Germany;AEMSA;United Arab Emirates
07/06/2022;87042322;cleora tillman;KGS;1;69647.14;1;ITASL;Italy;JOAMM;Jordan
09/06/2022;87042313;baylee torphy;KGS;1;68072.42;1;BEANE;Belgium;AEAUH;United Arab Emirates
27/06/2022;87042329;aracely schroeder;KGS;1;68560.24;1;DEALG;Germany;JOAQB;Jordan
23/06/2022;87042313;hettie roob;KGS;1;69441.74;1;DEAHM;Germany;AEHAM;United Arab Emirates
26/06/2022;87042311;dalton schmeler;KGS;1;65487.82;1;DEASG;Germany;AEFJR;United Arab Emirates
27/06/2022;87042313;ardith kuhic;KGS;1;67122.45;1;BEAGT;Belgium;JOQIR;Jordan
20/06/2022;87042310;jeromy senger;KGS;1;65128.37;1;DEAUG;Germany;JOQIR;Jordan
18/06/2022;87042323;wade bartell;KGS;1;66292.30;1;BEABE;Belgium;JOZAR;Jordan
